Generation,Makespan
1,470.00
2,470.00
3,470.00
4,470.00
5,470.00
6,460.00
7,460.00
8,460.00
9,460.00
10,460.00
11,460.00
12,450.00
13,450.00
14,450.00
15,450.00
16,450.00
17,450.00
18,450.00
19,450.00
20,450.00
21,450.00
22,450.00
23,450.00
24,450.00
25,450.00
26,450.00
27,450.00
28,450.00
29,450.00
30,450.00
31,450.00
32,450.00
33,450.00
34,450.00
35,450.00
36,450.00
37,450.00
38,450.00
39,450.00
40,450.00
41,450.00
42,450.00
43,450.00
44,450.00
45,450.00
46,450.00
47,450.00
48,450.00
49,450.00
50,450.00
51,450.00
52,450.00
53,450.00
54,450.00
55,450.00
56,450.00
57,450.00
58,450.00
59,450.00
60,450.00
61,450.00
62,450.00
63,450.00
64,450.00
65,450.00
66,450.00
67,450.00
68,450.00
69,450.00
70,450.00
71,450.00
72,450.00
73,450.00
74,450.00
75,450.00
76,450.00
77,450.00
78,450.00
79,450.00
80,450.00
81,450.00
82,450.00
83,450.00
84,450.00
85,450.00
86,450.00
87,450.00
88,450.00
89,450.00
90,450.00
91,440.00
92,440.00
93,440.00
94,440.00
95,440.00
96,440.00
97,440.00
98,440.00
99,440.00
100,440.00
101,440.00
102,440.00
103,440.00
104,440.00
105,440.00
106,440.00
107,440.00
108,440.00
109,440.00
110,440.00
111,440.00
112,440.00
113,440.00
114,440.00
115,440.00
116,440.00
117,440.00
118,440.00
119,440.00
120,440.00
121,440.00
122,440.00
123,440.00
124,440.00
125,440.00
126,440.00
127,440.00
128,440.00
129,440.00
130,440.00
131,440.00
132,440.00
133,440.00
134,440.00
135,440.00
136,440.00
137,440.00
138,440.00
139,440.00
140,440.00
141,440.00
142,440.00
143,440.00
144,440.00
145,440.00
146,440.00
147,440.00
148,440.00
149,440.00
150,440.00
151,440.00
152,440.00
153,440.00
154,440.00
155,440.00
156,440.00
157,440.00
158,440.00
159,440.00
160,440.00
161,440.00
162,440.00
163,440.00
164,440.00
165,440.00
166,440.00
167,440.00
168,440.00
169,440.00
170,440.00
171,440.00
172,440.00
173,440.00
174,440.00
175,440.00
176,440.00
177,440.00
178,440.00
179,440.00
180,440.00
181,440.00
182,440.00
183,440.00
184,440.00
185,440.00
186,440.00
187,440.00
188,440.00
189,440.00
190,440.00
191,440.00
192,440.00
193,440.00
194,440.00
195,440.00
196,440.00
197,440.00
198,440.00
199,440.00
200,440.00
